Cldn1	Cldn2
Cldn1	Cldn3
Cldn1	Cldn4
Cldn1	Cldn5
Cldn1	Cldn11
Cldn1	Cldn17
Cldn1	Cldn19
Cldn1	Cldn7
Cldn1	Cldn6
Cldn1	Cldn8
Cldn1	Cldn14
Cldn1	Cldn18
Cldn1	Cldn9
Cldn1	Cldn13
Cldn1	Cldn10
Cldn1	Cldn15
Cldn1	Cldn20
Cldn1	Cldn23
Cldn1	Cldn34c4
Cldn1	Cldn34d
Cldn1	Cldn22
Cldn2	Cldn24
Cldn2	Cldn16
Cldn2	Cldn1
Cldn2	Cldn2
Cldn2	Cldn3
Cldn2	Cldn4
Cldn2	Cldn5
Cldn2	Cldn11
Cldn2	Cldn17
Cldn2	Cldn19
Cldn2	Cldn7
Cldn2	Cldn6
Cldn2	Cldn8
Cldn2	Cldn14
Cldn2	Cldn18
Cldn2	Cldn9
Cldn2	Cldn13
Cldn2	Cldn10
Cldn2	Cldn15
Cldn2	Cldn20
Cldn2	Cldn23
Cldn2	Cldn34c4
Cldn2	Cldn34d
Cldn2	Cldn22
Cldn3	Cldn24
Cldn3	Cldn16
Cldn3	Cldn1
Cldn3	Cldn2
Cldn3	Cldn3
Cldn3	Cldn4
Cldn3	Cldn5
Cldn3	Cldn11
Cldn3	Cldn17
Cldn3	Cldn19
Cldn3	Cldn7
Cldn3	Cldn6
Cldn3	Cldn8
Cldn3	Cldn14
Cldn3	Cldn18
Cldn3	Cldn9
Cldn3	Cldn13
Cldn3	Cldn10
Cldn3	Cldn15
Cldn3	Cldn20
Cldn3	Cldn23
Cldn3	Cldn34c4
Cldn3	Cldn34d
Cldn3	Cldn22
Cldn4	Cldn24
Cldn4	Cldn16
Cldn4	Cldn1
Cldn4	Cldn2
Cldn4	Cldn3
Cldn4	Cldn4
Cldn4	Cldn5
Cldn4	Cldn11
Cldn4	Cldn17
Cldn4	Cldn19
Cldn4	Cldn7
Cldn4	Cldn6
Cldn4	Cldn8
Cldn4	Cldn14
Cldn4	Cldn18
Cldn4	Cldn9
Cldn4	Cldn13
Cldn4	Cldn10
Cldn4	Cldn15
Cldn4	Cldn20
Cldn4	Cldn23
Cldn4	Cldn34c4
Cldn4	Cldn34d
Cldn4	Cldn22
Cldn5	Cldn24
Cldn5	Cldn16
Cldn5	Cldn1
Cldn5	Cldn2
Cldn5	Cldn3
Cldn5	Cldn4
Cldn5	Cldn5
Cldn5	Cldn11
Cldn5	Cldn17
Cldn5	Cldn19
Cldn5	Cldn7
Cldn5	Cldn6
Cldn5	Cldn8
Cldn5	Cldn14
Cldn5	Cldn18
Cldn5	Cldn9
Cldn5	Cldn13
Cldn5	Cldn10
Cldn5	Cldn15
Cldn5	Cldn20
Cldn5	Cldn23
Cldn5	Cldn34c4
Cldn5	Cldn34d
Cldn5	Cldn22
Cldn17	Cldn24
Cldn17	Cldn16
Cldn17	Cldn1
Cldn17	Cldn2
Cldn17	Cldn3
Cldn17	Cldn4
Cldn17	Cldn5
Cldn17	Cldn11
Cldn17	Cldn17
Cldn17	Cldn19
Cldn17	Cldn7
Cldn17	Cldn6
Cldn17	Cldn8
Cldn17	Cldn14
Cldn17	Cldn18
Cldn17	Cldn9
Cldn17	Cldn13
